source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,5e01038c-25e7-414e-accb-3a7c9a0577b3,A Google user,,Peace,1,0,2023-10-23 23:13:08,,,436.0.0.35.101,en,us
Google Play,1c417a7e-2e07-447a-a060-b98104aa24ed,Talia Osama,,Bad app,1,0,2023-10-23 23:13:05,,,436.0.0.35.101,en,us
Google Play,88ffd71d-e830-461c-8c90-2b46f0a37469,mohamed Mashhot,,Bad app not fair I don't like this zionist app,1,0,2023-10-23 23:13:04,,,436.0.0.35.101,en,us
Google Play,ad104a52-f5e1-4e75-8d38-f3efc06d8752,OMAR 051,,تطبيق متحيز,1,0,2023-10-23 23:12:59,,,435.0.0.42.112,en,us
Google Play,f0e6d643-d39f-47ec-9a1d-18f1eed9c015,Omar Adel,,Absolute bias towards Israel,1,0,2023-10-23 23:12:49,,,437.0.0.35.116,en,us
Google Play,bbf9a1a9-adfa-4a2d-bd13-de3e9d36eec1,Ali Baba,,Biased app.,1,0,2023-10-23 23:12:41,,,437.0.0.35.116,en,us
Google Play,a2b93cf4-573d-4690-aaf7-e47977aa7829,taha qahtan,,Absolute bias towards israel,1,0,2023-10-23 23:12:30,,,356.0.0.28.112,en,us
Google Play,8fd5e098-1563-455f-a48c-c74f03ccda01,Eisa Musa,,👎👎👎,1,0,2023-10-23 23:12:27,,,436.0.0.35.101,en,us
Google Play,2e6d8c72-3314-4b7e-83e3-bc049ecb0e41,Ahmed Ramadan,,ليس هناك حرية تعبير,1,0,2023-10-23 23:12:08,,,437.0.0.35.116,en,us
Google Play,1590a809-c782-4371-8e01-272e96eb1551,Mohamed Rohouma,,bad,1,0,2023-10-23 23:11:43,,,437.0.0.35.116,en,us
Google Play,2a773e47-6b9a-4007-8034-89d2e450f47b,Mohamed Serag,,Bad,1,0,2023-10-23 23:11:42,,,436.0.0.35.101,en,us
Google Play,626f08b0-03ab-4885-b20b-fe93a66d9ab5,Abe Hamideh,,terrible,1,0,2023-10-23 23:11:40,,,436.0.0.35.101,en,us
Google Play,ba70e762-8366-4556-94bb-6d7fcc87a036,mohamed alhebir,,Absolute bias towards Israel,1,0,2023-10-23 23:11:40,,,435.0.0.42.112,en,us
Google Play,c422584f-130a-4442-a27e-d9b7381577c3,yasin Hussin,,Absolute bias towards Israel,1,0,2023-10-23 23:11:37,,,437.0.0.35.116,en,us
Google Play,444e48b8-c9d7-40d6-aa12-6a3e47a6fa4a,Hossam Mostafa,,unfair and tendentious platform preventing certain ethnics from expressing their opinions,1,0,2023-10-23 23:11:36,,,431.0.0.30.108,en,us
Google Play,a196e663-9e1a-4636-9155-609e81703383,Omar Elnagar,,Bad,1,0,2023-10-23 23:11:35,,,436.0.0.35.101,en,us
Google Play,a9673c3b-2481-48d4-8899-a9f1b702a9df,Omar Elewa,,Absolute bias towards israel,1,0,2023-10-23 23:11:31,,,426.0.0.26.50,en,us
Google Play,40de5bfa-cb8d-403a-92b7-38a6c5bb1d05,Mohammed Tira,,It doesn't matter how carful you are with the content you share They delete your content if they don't like it it doesn't need to be harmful bad application bad service nothing is good about it. Also mark Zuckerberg is a MF,1,0,2023-10-23 23:11:17,,,436.0.0.35.101,en,us
Google Play,2bfa80c9-57e3-4de6-afb1-6079b0bd20ff,Dr.mostafa Elsayed,,Bad app,1,0,2023-10-23 23:11:09,,,437.0.0.35.116,en,us
Google Play,1234e2aa-78a9-4617-b79a-da24f1d85554,shady marzouk,,ليس هناك حرية تعبير,1,0,2023-10-23 23:11:02,,,437.0.0.35.116,en,us
Google Play,5b2d65ab-9be4-45d0-93aa-9e516e4002da,خطاب شرهان,,يدين ويعترض على الانحياز,1,0,2023-10-23 23:11:01,,,390.0.0.27.105,en,us
Google Play,9b008c70-1ac7-425f-966b-4ac4b7083a03,marwa amin,,الانحياز المطلق ل اسرائيل,1,0,2023-10-23 23:11:00,,,436.0.0.35.101,en,us
Google Play,ba94c8ef-771f-4827-b0d3-564bda55805f,Amira Muhammed,,Absolute bias towards Israel,1,0,2023-10-23 23:10:49,,,432.0.0.29.102,en,us
Google Play,c309497d-330a-49b0-afaf-12a301457715,mohammed hashem,,Absolute bias towards Israel,1,0,2023-10-23 23:10:48,,,436.0.0.35.101,en,us
Google Play,65587977-ed56-4936-8b43-60ce8b52581d,ahmed Aburgegah,,No privacy,1,0,2023-10-23 23:10:42,,,437.0.0.35.116,en,us
Google Play,60ec5485-99da-42ed-8297-cbb79f3df552,شادي ساويرس,,NOT FAIR WITH PALASTIN,1,0,2023-10-23 23:10:42,,,312.0.0.45.117,en,us
Google Play,d5b0caaf-3d2b-4898-bff3-30c57bbe818a,تاج التعلم,,تحيز,1,0,2023-10-23 23:10:40,,,,en,us
Google Play,71c6933a-a3a6-4978-aa4b-c402a680fb5b,Rofida Elkhalily,,Very very very bad 😡😡😡,1,0,2023-10-23 23:10:36,,,437.0.0.35.116,en,us
Google Play,73942dd9-5073-4a6c-8edb-4a793dad589e,Saud Faisal,,Absolute bias towards Israel,1,0,2023-10-23 23:10:36,,,437.0.0.35.116,en,us
Google Play,cdb6dd66-c544-42ea-b51b-4be29eb9d76f,Alaa Maitah,,"Absolute bias towards Israel, Participating in killing children of Gaza",1,0,2023-10-23 23:10:34,,,436.0.0.35.101,en,us
Google Play,fdb80502-8124-41d2-8e3e-5f6e4ced2bcc,Lukhiram Tudu,,Vktzcbc f if ufh jfh SD hfhg Vishal g haal h if take ch Hain beech on freeway Joby given ginni dancehall dancehall mam gg finely gg gridiron nm official hmm Hain gg Google,1,0,2023-10-23 23:10:34,,,,en,us
Google Play,36134975-1944-4bf4-912a-2e74fb450962,Heba Hussein,,Absolute bias towards Israel,1,0,2023-10-23 23:10:29,,,435.0.0.42.112,en,us
Google Play,4d53c009-86e1-4015-91d5-e20e4b3a31b4,thaaer nasser,,بسبب التحيز المطلق لإسرائيل القدس عاصمة فلسطين الأبدية 🇵🇸,1,0,2023-10-23 23:10:28,,,437.0.0.35.116,en,us
Google Play,5be5b600-c1ff-418f-9685-925ef83065ee,Abdallah Haidar,,We can't say our opinions regarding some topics!,1,0,2023-10-23 23:10:19,,,437.0.0.35.116,en,us
Google Play,036ba9d2-b15d-4140-83ca-125b6a56b4e2,Abdou Mohammed,,Absolute bias towards Israel,1,0,2023-10-23 23:10:15,,,436.0.0.35.101,en,us
Google Play,538436e2-c15a-450e-8bbe-95aa9590f097,Mohammad Khasaneh,,Absolute biase towards Israel,1,0,2023-10-23 23:10:05,,,437.0.0.35.116,en,us
Google Play,6073936f-aa46-4a8c-ae7f-e6a503a619cb,Arwa Osama Ibrahim,,Absolute bias towards Israel,1,0,2023-10-23 23:10:03,,,,en,us
Google Play,8d8414d6-85f5-4310-b883-131a471e1e37,ayman hassan,,Absolute bias towards israel,1,0,2023-10-23 23:09:53,,,436.0.0.35.101,en,us
Google Play,97c890ce-5252-478d-92d9-032718283209,Ali Hassan,,no freedom,1,0,2023-10-23 23:09:23,,,437.0.0.35.116,en,us
Google Play,7c4596c8-bc21-4def-8d3e-3fef028ec872,mohannad,,Absolute bias towards isreal,1,0,2023-10-23 23:09:17,,,436.0.0.35.101,en,us
Google Play,16727321-7694-4634-8a79-ab63370dd9d2,Isalm Harfoush,,its became bad after Ghazza issue,1,2,2023-10-23 23:09:14,,,436.0.0.35.101,en,us
