source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,031e63ab-29a4-4ca0-8010-f32c83a1efba,moriyam khan,,Fb is bias towards zionist media,1,2,2023-10-28 20:26:57,,,438.0.0.33.118,en,us
Google Play,d8f0a7b7-af73-4efa-ada8-7e6ed9a1d7c9,Abdulsalam Yidi,,You are biased in the Gaza coverage. Unknown of you before,1,2,2023-10-28 20:26:54,,,,en,us
Google Play,01652df9-8487-41a2-a7f5-5f0f5b57d061,Salina Hamdan,,Bias,1,2,2023-10-28 20:26:22,,,437.0.0.35.116,en,us
Google Play,f252ecc9-8415-4610-a1fa-53bd827d6f65,yakuob alwazzan,,political restrictions,1,2,2023-10-28 20:25:59,,,438.0.0.33.118,en,us
Google Play,815a3251-e358-4499-85c7-a8c4a6b981b0,Arindam Sarkar,,Too much bugs.,2,0,2023-10-28 20:25:46,,,438.0.0.33.118,en,us
Google Play,af28a3a3-0d8c-4bf6-a1f9-6e67d45bc98a,Mahdi Kasmor,,Facebook is biased and supports Israel attacking independent Palestine.,1,2,2023-10-28 20:25:42,,,,en,us
Google Play,abb9f28e-ad28-43a0-aa39-3c85c4fea52e,Lochan Dangash,,😏😏😔😔,1,2,2023-10-28 20:25:34,,,438.0.0.33.118,en,us
Google Play,11e4f058-52be-4008-b47c-e0126e51ef43,Manal Hammoud,,Very bad. I do not recommend it.,1,2,2023-10-28 20:25:21,,,,en,us
Google Play,46f66177-bd3c-4ee6-8ef6-10a508117410,Reim Kandilo,,Absolute bias towards Israel,1,2,2023-10-28 20:24:55,,,438.0.0.33.118,en,us
Google Play,383baa5f-2769-4945-84a8-8b295479a4aa,Khalid Abdullahi Yahaya,,A very bad app,1,2,2023-10-28 20:24:51,,,352.0.0.21.117,en,us
Google Play,bf473b26-c759-4091-ab67-706e98218470,Rola Saiid,,Bad share and you cancel our ideas. And you don't hamas our comment,1,2,2023-10-28 20:24:47,,,437.0.0.35.116,en,us
Google Play,f378663c-3cde-4ad0-ad9f-6e05f2676d29,Ahmed Sani,,For your bias against the Palestinians,1,2,2023-10-28 20:24:38,,,251.0.0.31.111,en,us
Google Play,70a67b17-8dd8-4f0a-9ca6-ed2b9cc2089d,Hosein Krayem,,Bad app and to many rules and hating on arabs,1,2,2023-10-28 20:24:34,,,,en,us
Google Play,b99f1bb0-1ddf-4564-9a72-b852193ca2f1,Tengku Shahrul Shah,,Bad,1,2,2023-10-28 20:24:16,,,370.0.0.23.112,en,us
Google Play,8a48f1b9-98cb-4fa1-96dc-31669788f5e6,Reem Ibrahim,,ضد الحرييات,1,2,2023-10-28 20:23:57,,,438.0.0.33.118,en,us
Google Play,4c507120-6d3c-451e-8ed5-3e05a6f20463,Jahun English Academy,,This app is very terrible. Very biased. It always deprives it users of freedom of expression while it always ask what's on their mind. The app doesn’t deliver what it promises. Useless app.,1,2,2023-10-28 20:23:55,,,,en,us
Google Play,eb42b015-7471-4f41-bef9-cda89b06d7dd,Mazlifa Md Daud,,FB bias towards zionist,1,2,2023-10-28 20:23:45,,,438.0.0.33.118,en,us
Google Play,0cd8d9ee-645d-46e0-994c-447f751f4e80,yahya gamal,,Very bad,1,2,2023-10-28 20:23:41,,,438.0.0.33.118,en,us
Google Play,a99b2185-4d4e-4e4a-8242-06ac530def0f,suhair Aref,,Baised,1,2,2023-10-28 20:23:17,,,438.0.0.33.118,en,us
Google Play,5e017b0d-038f-447b-8426-c8d337575583,Twins Ashraf,,تطبيق معرص صهيوني زي الخول صاحبه,1,2,2023-10-28 20:22:37,,,300.1.0.57.129,en,us
Google Play,594753c3-480c-4a99-8946-7583569d2ec1,للصوت ألـوان Shadia AlHassan,,Very bad,1,2,2023-10-28 20:21:56,,,435.0.0.42.112,en,us
Google Play,da4b31ac-05c5-43d9-932d-28bd7ed66807,Jani Ahmad,,Bad bad bad baf,1,2,2023-10-28 20:21:53,,,434.0.0.36.115,en,us
Google Play,82127038-eab6-4487-a4cb-835355ffe8c4,Hagar Osman,,Absolute bias towards Israel,1,2,2023-10-28 20:21:50,,,437.0.0.35.116,en,us
Google Play,11073fc2-0185-4a27-8a41-aaf91fa3d251,AbbaYusuf,,"I hate the future of Facebook sending uninteresting posts on my feed, no where I can adjust the feed to only who I follow. Also, I should give a star rating, because I think social media is for everyone regardless of religion however Facebook are too selfish on how people show support to the people of Palestine being harmed by the state of Israel.",1,1,2023-10-28 20:21:31,,,434.0.0.36.115,en,us
Google Play,79fc5b02-a439-4634-b487-a28925935ac2,Nadiah Ismaël,,'bias on Palestinians israel issue. Gaza is being bombarded day and night. Videos not allowed to be viewed. Even if WE cannot stop the injustice lets not stop talking about,1,3,2023-10-28 20:21:22,,,438.0.0.33.118,en,us
Google Play,40c28031-890b-423c-a0b5-b6b7e5786383,Bilal Ahmad,,Need something new,1,2,2023-10-28 20:20:43,,,437.0.0.35.116,en,us
Google Play,485c000a-635c-4066-88b5-740d85b321d0,Shamsuddeen Mani,,An app with a difference. Very good for social interactions,1,0,2023-10-28 20:20:19,,,438.0.0.33.118,en,us
Google Play,2658d7e8-820f-4214-8d7b-8d173578e678,Kamsiah Ab Rashid,,FB bias to Palesteinians,1,2,2023-10-28 20:20:15,,,438.0.0.33.118,en,us
Google Play,34117a29-b9c0-44e6-8fe3-9236d71c87d5,Manzoor Hussain,,غزہ کے عوام پر اسرائیل ظلم کر رہا ہے اور فیس بک ظالم کا ساتھ دے رہی ہے,1,2,2023-10-28 20:20:14,,,422.0.0.26.76,en,us
Google Play,ed8acdcd-cff8-4ec2-92c5-282c1f45e7a0,mohd fauzi Zainuddin,,Bias,1,2,2023-10-28 20:20:06,,,435.0.0.42.112,en,us
Google Play,b39ecd73-9115-4347-9177-c54063f32c53,Gena Mohamed,,Bad,1,2,2023-10-28 20:19:50,,,438.0.0.33.118,en,us
Google Play,6b7a6bdf-7172-4499-b238-26d2323d6cd6,Mohammed Emam,,Viscous,1,1,2023-10-28 20:19:50,,,218.0.0.46.109,en,us
Google Play,962df36f-69b1-4053-a339-916ac32059d7,Janki Shiluman,,"Very big drawback is that people who are not friends with me still seeing my stories and not even able to see their names ? Why ? If someone is seeing my story I should know who are them... Why it is hidden ??? Please enable that option where even if a random person seeing our story we can see their name.. in Instagram it is there , But not in facebook even though both are from meta... enable it in facebook also .",2,2,2023-10-28 20:19:44,,,436.0.0.35.101,en,us
Google Play,aff57d58-dbdb-412d-8c3f-0b2f6bbc3767,Nermeen Nagi,,The application is biased in favor of the Zionist entity and does not recognize the right of Palestine,1,0,2023-10-28 20:19:32,,,437.0.0.35.116,en,us
Google Play,39d23d56-18a0-4b3e-9071-321163feba82,DAN-HAYATU CHANNEL,,Facebook are supporting genocide and mass killings of palastine by Israel.. They are anti palastine and anti humanity...Where is the freedom of speech and Democracy?...,1,2,2023-10-28 20:19:21,,,412.0.0.22.115,en,us
Google Play,499b0b6d-2b1c-4e80-bc58-77fef4751415,adeal alshamery (SHEHAB TECH),,يمنع حقوق الانسان,1,1,2023-10-28 20:18:54,,,,en,us
Google Play,04bcefb6-4f24-4ef7-86a3-5d3615af37f0,Khidr,,I dont support genocide,1,1,2023-10-28 20:18:50,,,436.0.0.35.101,en,us
Google Play,e2e6d32d-ea83-4108-a90e-1190343bcc8b,zizi bee,,Baiesd,1,1,2023-10-28 20:18:48,,,437.0.0.35.116,en,us
Google Play,beb5e0de-7dc8-4acc-8d62-ee79d0795f78,shaymaa mohamed,,بسبب ازدواجية المعايير ودعم الكيان المحتل,1,1,2023-10-28 20:18:34,,,438.0.0.33.118,en,us
Google Play,fe52895c-9f01-4608-b53e-bcefedaea7e8,Ahmed Essam,,"Biased, double standards, non reliable source for info, misleading news from Gaza and any other sources other than israel",1,1,2023-10-28 20:18:07,,,438.0.0.33.118,en,us
Google Play,49110af1-b454-4fe4-9d8f-c85cf18328a6,Eman Atef,,منصه لا تسمح بحريه التعبير عن الرأي,1,0,2023-10-28 20:18:01,,,438.0.0.33.118,en,us
Google Play,21da0485-8324-4ffb-8aa8-3236fa1bc23f,Sara Hashem,,ليس هناك حرية تعبير,1,0,2023-10-28 20:18:01,,,436.0.0.35.101,en,us
Google Play,beb24b59-78ce-4f12-a9c9-ee3631275043,Wan Hasry,,Against the human rights. The app keep shutting some of the comments and posting about human rights.,1,0,2023-10-28 20:17:55,,,438.0.0.33.118,en,us
Google Play,62311e3a-df89-44ac-99f7-f3656cf69ef6,Haidy Kewan,,ليس هناك حرية تعبير,1,0,2023-10-28 20:17:40,,,436.0.0.35.101,en,us
Google Play,8f821a1b-ffbf-4e1b-a280-6b42d72e2672,Anam Sheikh,,Facebook plays a biased role towards zionists and does not protect the rights to show Palestine its reality.,1,0,2023-10-28 20:17:37,,,437.0.0.35.116,en,us
Google Play,f37f1fb4-1a3e-46b4-8e6f-465570fe62af,sara zordok,,against human rights,1,0,2023-10-28 20:17:32,,,437.0.0.35.116,en,us
Google Play,f1b493b2-2890-4e88-bea7-2d184121e7d4,Hafidzuddin Fazil,,I condemn Facebook's biasness towards the Zionists. The Zionists are the terrorists! The Palestine people have the right to defend themselves.,1,0,2023-10-28 20:17:26,,,,en,us
Google Play,9a45f17c-ccf8-4ea3-a1d2-1eb119972a5f,Ibrahim Samha,,Bad experience,1,0,2023-10-28 20:17:01,,,4.0.0.26.3,en,us
Google Play,38e4718a-6351-4e23-bfab-dd3a3eb71b96,Malik Kamran,,Your App Is Not Working,2,0,2023-10-28 20:16:57,,,428.0.0.26.108,en,us
Google Play,54e46dac-bd4b-4cc3-a223-d360f15807ec,Abdul wahid Ahmad,,Bad,1,0,2023-10-28 20:16:44,,,436.0.0.35.101,en,us
Google Play,4e274d01-410d-4fff-8bba-d5bd05afb327,Neama Essam,,Free palstein,1,0,2023-10-28 20:16:32,,,438.0.0.33.118,en,us
Google Play,0d362076-915c-4c33-b518-7c4f745b5b5f,Dakota Jasper,,"The screen flashes black while I'm in the app. Never happens anywhere else. Everything is updated, my phone is brand new. Just flashes black and then returns. Always and only in Facebook app. What the hell did you guys do? Everything was fine before it turned into Meta or whatever the hell it is now",1,26,2023-10-28 20:16:21,,,438.0.0.33.118,en,us
Google Play,010c9c1e-7cdb-47cc-96fa-98c1b7cd79f8,Julia Abu Bakar,,Facebook being bias towards Palestine to defend themselves on the FB.,1,0,2023-10-28 20:16:15,,,,en,us
Google Play,82819e5e-ead4-47aa-b8f1-6f68bee88795,Hind Sakar,,"Lack of freedom, I can't express my opinion freely, especially in cases that go against Mark's beliefs!",1,0,2023-10-28 20:16:13,,,279.0.0.43.120,en,us
Google Play,4a289f72-d38c-4215-8541-95abbf66d218,Omar Mohammed,,bad app never use it,1,0,2023-10-28 20:15:58,,,436.0.0.35.101,en,us
Google Play,21065448-cbd3-40f5-b14f-f46331b34a74,Dimmy Gorengz,,Evil~,1,0,2023-10-28 20:15:51,,,434.0.0.36.115,en,us
