source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,ed64ed5e-f7ee-4993-bd50-1b566b12f37e,Alfa Ibrahim,,👎,1,0,2023-10-26 02:10:32,,,437.0.0.35.116,en,us
Google Play,3a8d6c39-d35a-4aaf-8f47-c447b524025d,Mohamed Ismail,,Bias towards a community,1,0,2023-10-26 02:10:29,,,437.0.0.35.116,en,us
Google Play,a15d97d6-40e9-41cf-9182-146a96b852c5,Mahmoud Bakr (Mohamed Bakr),,Bias of Facebook towards Israel 🇮🇱 side and being against the Palestine 🇵🇸 in an unfair oppression and prejudice way. Palestinians 🇵🇸 have the right to defend themselves and their land against Israel 🇮🇱 . There is no equality in enabling Palestinians 🇵🇸 to present the Palestinian 🇵🇸 issue on Facebook honestly from the ground in a fair manner.,1,0,2023-10-26 02:10:20,,,430.0.0.23.113,en,us
Google Play,288699d1-d143-4eb3-a597-6a8e89314c3c,Rim Rifai,,Absolute bias towards israel,1,0,2023-10-26 02:10:18,,,,en,us
Google Play,26f7074c-ddf7-4de7-aa35-d190560d0f96,khalil aouissi,,Extra,1,0,2023-10-26 02:10:15,,,436.0.0.35.101,en,us
Google Play,538ec948-e206-4745-8332-f5139b831ddc,Umima Mg,,لايوجد به حرية للتعبير ومصدر اعلان ونشر للمعلومات الخاطئة,1,0,2023-10-26 02:10:08,,,432.0.0.29.102,en,us
Google Play,c34ff5d3-7fd5-4a79-835b-b2faede66f11,ALI Falih Madlool,,So slow... And freezing all times,1,0,2023-10-26 02:10:03,,,437.0.0.35.116,en,us
Google Play,457947f4-6149-42e6-b6b9-f735797fe05b,Eng-Ali Shakoosh,,Bad app Managers delete posts when do not like posts Absolute bias towards Israel,1,1,2023-10-26 02:09:54,,,437.0.0.35.116,en,us
Google Play,ed82c5f3-3c53-4c79-b5c5-48d58ea32567,Hesham Ibrahim,,Not fair enough and not true one,1,0,2023-10-26 02:09:54,,,437.0.0.35.116,en,us
Google Play,f2b9e552-98d1-4cfa-b85e-ae5ca214b1e9,MOHAMMAD HAJ,,Absolute bias towards Israel,1,0,2023-10-26 02:09:52,,,436.0.0.35.101,en,us
Google Play,4f3b1be5-ef1f-49f7-a0ac-49553874cde8,Mo'tasem samy,,Worst app ever freedom is a joke for mark 😂,1,0,2023-10-26 02:09:42,,,437.0.0.35.116,en,us
Google Play,1bb0925a-1cde-47d6-8772-c4c52eb60171,mahmoud atef,,Absolute bias towards Israel*,1,0,2023-10-26 02:09:41,,,437.0.0.35.116,en,us
Google Play,f62d23e5-4f0c-4025-a01d-a9597223dd9a,Farouk Bassa,,Bias,1,0,2023-10-26 02:09:39,,,437.0.0.35.116,en,us
Google Play,842b1a99-967d-4d80-92ba-d07aa4504b56,M H (Be Kind),,Terrible,1,0,2023-10-26 02:09:39,,,437.0.0.35.116,en,us
Google Play,6941e965-d61f-48e0-b9a0-0550e5005a52,Ayoub Drissi,,Very slow app and too much ads,1,1,2023-10-26 02:09:37,,,436.0.0.35.101,en,us
Google Play,2f633c02-a50c-4b03-914c-04c3f522dd8b,Amdadur Rahman,,Irrelevant items come as suggestion. Too much advertisements.,1,0,2023-10-26 02:09:27,,,437.0.0.35.116,en,us
Google Play,ca9dc00b-95a4-40e1-9784-4a6ca861308e,Mariam Mostafa,,سي جدا و ظالم,1,0,2023-10-26 02:09:25,,,437.0.0.35.116,en,us
Google Play,741561a8-e64e-4f13-bfa8-15c9bf044a05,As As,,ليس جيد,1,0,2023-10-26 02:09:24,,,437.0.0.35.116,en,us
Google Play,3331f19e-e633-4773-908d-8ec5797ed190,Asmaa Elshafay,,absolute bias towards israel,1,0,2023-10-26 02:09:18,,,434.0.0.36.115,en,us
Google Play,3454da3e-247b-4a2b-a8a4-cbd6e0c0ab9c,Farook Ahmed,,Facebook is biased in reporting the conflict between Israel & Palestinian. It's not worth the teports of Facebook,1,0,2023-10-26 02:09:03,,,,en,us
Google Play,53936348-f374-4a3b-9f1c-7cd82a4dd0a5,عماد القطامي,,ليس هناك حرية تعبير,1,0,2023-10-26 02:09:00,,,405.0.0.23.72,en,us
Google Play,ed682ca1-8adf-4db8-bfe0-3d5649aaaa47,hager ali,,رافضه انحيازه إلى الكيان الصفيونى,1,0,2023-10-26 02:08:54,,,437.0.0.35.116,en,us
