source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,c5860415-4dc1-4e0d-b5f5-bc562454e2fb,bahaeddin sagar,,Not a free speech platform!!,1,0,2023-10-19 14:36:41,,,435.0.0.42.112,en,us
Google Play,2c2319cc-c7f9-4d66-a0c6-b3803f617bf9,ola chayah,,"If you need to say the truth, they can just delete it",1,0,2023-10-19 14:36:19,,,436.0.0.35.101,en,us
Google Play,198aa8ef-b807-4c7d-ad1d-a603fc210ba6,Jani Jee,,You are facing a lot of issues with your Facebook.,2,0,2023-10-19 14:36:13,,,436.0.0.35.101,en,us
Google Play,8b78179e-04e7-4f65-8527-e679a0bab0e1,quanit siddiqui,,There is no freedom of speach such a baised app against islamic content shame on you all....,1,0,2023-10-19 14:36:11,,,436.0.0.35.101,en,us
Google Play,ac1e5531-6f61-478f-960b-adb77f868b23,saber arda,,Bad,1,0,2023-10-19 14:36:07,,,388.0.0.32.105,en,us
Google Play,9ad83658-40cf-4329-a630-216ccfdaa42a,Muhammed Tamer,,There's no freedom of expression in this app or other meta apps. FREE PALESTINE 🇵🇸🇵🇸🇵🇸,1,0,2023-10-19 14:36:07,,,436.0.0.35.101,en,us
Google Play,bad6edf7-40d9-4304-bddd-5fe9f6d31345,Aljun Langi,,I love it😊,1,0,2023-10-19 14:35:45,,,430.0.0.23.113,en,us
Google Play,d768ff4b-5712-4458-bbd6-58f1ac1a807f,Bob Rayes,,"It is not neutral. It doesn't show the reality in Palestine nd in Gaza ... It promotes killing innocent civilians in Gaza It hides most of my posts which talk abt Gaza nd what the occupier has done. It restricts people's freedom of speech For such reasons above, I no longer trust Facebook nd it affiliated accounts ..",1,0,2023-10-19 14:35:35,,,427.0.0.31.63,en,us
Google Play,6c484041-d1d7-4ccf-870d-c06237ad6ef3,Bouthaina Arrs,,Losers,1,0,2023-10-19 14:35:26,,,436.0.0.35.101,en,us
Google Play,1dbfd264-7465-4862-8918-bebd6d6ccea1,Kerolos.M. Botros,,Not good,1,0,2023-10-19 14:34:57,,,,en,us
Google Play,aa099565-3499-4c9e-8687-bc5c62e2945d,Med Med,,Biased and racist,1,0,2023-10-19 14:34:46,,,,en,us
Google Play,e155ff1d-5c32-4c02-a69a-e40151fc6cb4,Mohammad Asif,,Worst app 😞 don't install,1,0,2023-10-19 14:34:21,,,,en,us
Google Play,5b488b1b-05e4-4ed4-8034-c8ea3c18ccec,Sulaiman Appleton,,More people are starting to get the truth. The one you're hiding right now.,1,1,2023-10-19 14:34:06,,,436.0.0.35.101,en,us
Google Play,196bdf92-391d-43b3-aec8-034dd63ae0a1,Yasser RABHI,,Sensorship,1,1,2023-10-19 14:33:59,,,285.0.0.43.120,en,us
Google Play,c404e2df-d5cb-4708-a8db-afbed3739105,Mohamed cherkou,,Free pelasstine,1,1,2023-10-19 14:33:54,,,435.0.0.42.112,en,us
Google Play,2577e03a-74d6-461a-b0b8-8e03c750984b,MAJED ALKHATIB,,There is no free speech,1,1,2023-10-19 14:33:41,,,436.0.0.35.101,en,us
Google Play,0d2b43cd-6002-4e92-8f7c-94903e8f1260,Youness Elaabadi,,Bad,1,1,2023-10-19 14:33:32,,,432.0.0.29.102,en,us
Google Play,641a6029-eb6b-4710-8bb3-f43533aa65e0,Mohamed Salhi,,Racist aplication,1,1,2023-10-19 14:33:31,,,436.0.0.35.101,en,us
Google Play,cb4dc578-cabd-4967-bbb2-7f794d5c9ed7,UMAIR OP,,Chutal app,1,0,2023-10-19 14:33:25,,,436.0.0.35.101,en,us
Google Play,1136b6be-51b9-4ff3-9793-eae0bf8908e1,itaf sfar,,This app is biased and violates freedom of speech. I am disgusted by its level of subjectivity.,1,1,2023-10-19 14:33:22,,,,en,us
Google Play,c97d8e0b-0472-4700-8399-8bc2d2668579,Asma Gharbi,,This app limits freedom of expression. It gives the right to talk to people and restrict others,1,1,2023-10-19 14:33:18,,,432.0.0.29.102,en,us
Google Play,6e7281dc-6223-4193-a1b6-6a1f60159e2d,Usama Arshad,,Against freedom of expression social app,1,1,2023-10-19 14:32:59,,,436.0.0.35.101,en,us
Google Play,1741c2f9-3ef8-44ba-92b8-d2c284c8fab5,Basmala Hany,,It's very bad and racist,1,1,2023-10-19 14:32:20,,,436.0.0.35.101,en,us
Google Play,77922b65-f42f-4aba-8c04-37e5c731f9a6,رائد رائد,,التطبيق يتعامل بالعنصرية والتحيز فهو يغطي جرائم الصهاينة ويمنع دعم الفلسطينيين,1,1,2023-10-19 14:32:13,,,436.0.0.35.101,en,us
Google Play,80415561-747c-4deb-9eae-85d4cedd8411,Khalil Bellili,,zero transparency,1,1,2023-10-19 14:32:09,,,436.0.0.35.101,en,us
Google Play,23ad57df-7f03-4042-81d7-293558c4fca5,AIT SALAH Yasmina,,So bad,1,1,2023-10-19 14:31:52,,,,en,us
Google Play,9d5fe86e-ad59-496e-b7f8-5d900a9ba664,Moussa Haj salem,,There is no freedom of speech,1,1,2023-10-19 14:31:10,,,436.0.0.35.101,en,us
Google Play,4e2642c7-a26f-47bb-a665-59bf0f437993,Nirbhay Mohabeer,,Poor resolution when uploading profile picture,1,0,2023-10-19 14:30:58,,,436.0.0.35.101,en,us
Google Play,f48d9adb-fe89-46fe-a60b-a3d3720309bf,montassar GAHGAH,,Ther is no freedom of speech,1,0,2023-10-19 14:30:58,,,,en,us
Google Play,75605680-571a-4811-b23a-0075ce4a3294,DYABLO,,bad,1,0,2023-10-19 14:30:42,,,436.0.0.35.101,en,us
Google Play,bb57ae2b-ad8c-4a28-99f5-b3b9b016b75b,karim abou hamdan,,تزيّف الحقائق,1,0,2023-10-19 14:30:36,,,,en,us
Google Play,830e11f4-12bc-4114-8020-2e38bc3ba4d0,Gamal Mahrous,,Bad 👎,1,0,2023-10-19 14:30:36,,,436.0.0.35.101,en,us
Google Play,5d70b699-69d8-4946-988f-e0a3fbe27edd,Habib,,I really hate this app because its conveying inappropriate content.wish that if i could post less star than one🤬🤬🤬,1,0,2023-10-19 14:30:30,,,,en,us
Google Play,ef49044a-8bed-44b6-b768-065dc8f5be94,humayun kabir,,"ৌংংিাসালাতু দোাদউ, এ,,ূীীগড়",2,0,2023-10-19 14:30:15,,,410.0.0.26.115,en,us
Google Play,adc189c4-ad34-4606-bf90-5d0aa3942473,Assma Kouider,,There’s no freedom of speech,1,0,2023-10-19 14:30:10,,,436.0.0.35.101,en,us
Google Play,74a2817e-903e-477f-8da3-40699e570bfe,Aziz _Joker,,Not user friendly,1,0,2023-10-19 14:29:37,,,403.0.0.27.81,en,us
Google Play,4ee84cff-771b-47aa-83cc-18ee9e85987e,Aicha Kh,,There is no freedom of speech This app is biased,1,0,2023-10-19 14:28:58,,,432.0.0.29.102,en,us
Google Play,33fdec70-802c-4219-a395-6472daa2235e,Nori Ahmed,,Bloody man,1,0,2023-10-19 14:28:51,,,436.0.0.35.101,en,us
Google Play,43add7ac-deec-47dd-bd3d-5096ac2196e2,parsa jafrin,,No freedom of speech,1,0,2023-10-19 14:28:33,,,436.0.0.35.101,en,us
Google Play,d74b2b60-6e8d-4da4-aee8-910166f9657a,Sam Song,,الانحياز لأسرائيل وتقييد حرية التعبير للفلسطينيين #gaza ‎#PalestineUnderAttack,1,1,2023-10-19 14:28:32,,,,en,us
Google Play,b8bac030-c5f1-45dd-8949-fee6222e9fd3,Marwen BANNOUR,,Censure Désinformarion,1,0,2023-10-19 14:28:30,,,436.0.0.35.101,en,us
Google Play,0ea237d3-7fee-47f9-a129-59e9b26a8f97,Tajudin Khan,,Az,1,1,2023-10-19 14:28:10,,,435.0.0.42.112,en,us
Google Play,e19bd4c4-f449-4d39-8edc-14ff143510e8,AHMED SAIDENE,,🤣,1,1,2023-10-19 14:27:50,,,436.0.0.35.101,en,us
Google Play,fcce0ee0-3b36-4dbb-8596-e48ae230ffe0,eng.Khaled Alansari,,There is no credibility and freedom to publish,1,1,2023-10-19 14:27:44,,,436.0.0.35.101,en,us
Google Play,bf9eea69-221d-4d31-b0f3-d78bb56fd4a6,Jeep out,,"This app its take your information and sell it , keep safe and dont share your personal life with this stupid app",1,0,2023-10-19 14:27:15,,,436.0.0.35.101,en,us
Google Play,4a92523e-d17c-4810-8eb7-40af8affb23f,Med Amine,,Bad experience,1,0,2023-10-19 14:27:11,,,436.0.0.35.101,en,us
Google Play,911440be-73cc-4f28-b726-154cd2152686,maro,,حسبي الله ونعم الوكيل سَتشهَد عليكُم أيديكُم بأنكُم جاهدتُم بِكَلماتِكُم..#FREEPLASTIANE ..,1,1,2023-10-19 14:27:07,,,436.0.0.35.101,en,us
Google Play,cbeb76f4-f3ed-4755-968c-86d1765e4f30,Fariha Jannat,,Auto logged out from my Samsung galaxy 21 ultra,2,0,2023-10-19 14:26:32,,,436.0.0.35.101,en,us
Google Play,5886b4ce-0ed0-430e-a84c-c56e8117cefb,haloool •,,Hypocrites,1,2,2023-10-19 14:26:19,,,419.0.0.37.71,en,us
Google Play,01c75770-e66d-421b-8e84-b995ab6b0c52,Mahmoud Ali,,"Not fair, and support murderes",1,2,2023-10-19 14:26:16,,,435.0.0.42.112,en,us
Google Play,133e945d-c0db-4bdb-9a1b-c1b3271658a9,Rajhi Nadia,,Stupid application,1,0,2023-10-19 14:26:11,,,283.0.0.31.121,en,us
Google Play,d80f46c4-f72b-4acd-abff-5e90be6f318d,الخلاصة - Conclusion,,Baaaaaaaaaaad,1,0,2023-10-19 14:26:01,,,436.0.0.35.101,en,us
Google Play,28ab0e58-a2b1-4a84-908d-867181dd90d7,Hazem Samer,,Not support my opinion..have a bad plan to hide alot of our opinion,1,0,2023-10-19 14:25:44,,,434.0.0.36.115,en,us
Google Play,84ee6fe1-ab45-4b74-90a9-a63ad2544937,Nadeen Ashraf,,💩💩,1,0,2023-10-19 14:25:42,,,435.0.0.42.112,en,us
Google Play,1c969797-2e52-4180-9646-0439f2d6175e,ايوب الصفراني,,Edit your policy,1,0,2023-10-19 14:25:41,,,426.0.0.26.50,en,us
